"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.31159954600182,0.869,0.575,0,"0","Ly6e"
0,3.97909516896838,0.326,0.033,0,"0","Kctd12b"
0,3.89947183401795,0.316,0.023,0,"0","Acer2"
0,2.9153384091046,0.329,0.047,0,"0","Ptprm"
0,3.15459046980657,0.31,0.03,0,"0","Pcdh1"
0,2.21503424421103,0.341,0.062,0,"0","2900026A02Rik"
0,2.98475547266123,0.317,0.041,0,"0","Parvb"
0,3.17720363409058,0.31,0.035,0,"0","She"
0,2.87102823992477,0.324,0.049,0,"0","Ldb2"
0,2.14663367854324,0.335,0.064,0,"0","St3gal6"
0,3.37142463314557,0.306,0.035,0,"0","Jcad"
0,2.97138528641444,0.327,0.056,0,"0","Rtl8a"
0,4.6891373458997,0.278,0.009,0,"0","Ptprr"
0,3.14357111465041,0.292,0.025,0,"0","Tnfrsf10b"
0,6.9752315006085,0.268,0.002,0,"0","Thrsp"
0,4.57922976602046,0.274,0.008,0,"0","Itgb4"
0,6.71827601847525,0.267,0.002,0,"0","Syt15"
0,3.01560515345387,0.303,0.039,0,"0","Tspan12"
0,2.75610325605133,0.295,0.033,0,"0","Cracr2b"
0,2.87442756576766,0.308,0.051,0,"0","BC028528"
0,4.81810175161225,0.266,0.009,0,"0","Unc45b"
0,2.58716209354548,0.306,0.051,0,"0","Gpr146"
0,4.47925737859052,0.265,0.01,0,"0","Gata2"
0,3.60820778040104,0.277,0.023,0,"0","Tnfsf10"
0,3.26205687247229,0.285,0.032,0,"0","Bvht"
0,2.70854896047259,0.292,0.045,0,"0","Ephb4"
0,2.63142008653679,0.291,0.046,0,"0","Rasal2"
0,4.31844543004616,0.253,0.009,0,"0","Rapgef4"
0,3.46176427125694,0.263,0.021,0,"0","Dysf"
0,3.06208204167183,0.273,0.033,0,"0","Timeless"
0,3.12011068452884,0.271,0.031,0,"0","Cpne8"
0,3.14459756971083,0.277,0.038,0,"0","Kti12"
0,3.36839399348337,0.256,0.02,0,"0","Afap1l1"
0,3.50909768043682,0.266,0.036,0,"0","Zfp46"
0,3.79367879510606,0.253,0.023,0,"0","Sema6b"
0,1.42458788679098,0.855,0.625,0,"0","Ybx1"
0,3.36620169180396,0.254,0.025,0,"0","Caskin2"
0,2.66826643110223,0.263,0.037,0,"0","Ppp1r13b"
0,1.20866205486108,0.924,0.716,0,"0","Calm1"
2.56914135837448e-322,1.36779369202483,0.846,0.524,8.29447287551202e-318,"0","Socs3"
4.05133829589822e-322,2.44739355315707,0.358,0.079,1.30797456883074e-317,"0","Stom"
4.68176605999165e-320,1.5157142349265,0.468,0.126,1.5115081724683e-315,"0","Prkch"
3.95347683597699e-316,2.25978376574438,0.318,0.061,1.27637999649517e-311,"0","Rsad2"
1.427053603368e-312,2.25564446637519,0.347,0.074,4.60724255847358e-308,"0","Tanc1"
6.37053312810835e-312,1.97013118287886,0.497,0.164,2.05672662040978e-307,"0","Ccdc85b"
4.37300359845169e-311,2.45866393780823,0.387,0.098,1.41182421176013e-306,"0","Plpp1"
4.06951701901922e-310,2.03145785834655,0.47,0.142,1.31384356959036e-305,"0","Dusp6"
3.45977643311649e-308,2.36040349179522,0.357,0.081,1.11698882143166e-303,"0","Yes1"
4.44750854264072e-308,2.52662896209595,0.347,0.078,1.43587813299156e-303,"0","Rtp4"
4.96539814409464e-308,1.18006059936416,0.617,0.223,1.60307879082096e-303,"0","Arhgap31"
5.96270796443448e-305,2.11871781153305,0.393,0.1,1.92506026631767e-300,"0","Dab2ip"
1.6936036240452e-303,2.16130477543784,0.419,0.116,5.46779930022994e-299,"0","Ddah2"
5.25437286013437e-301,1.86249852716928,0.516,0.174,1.69637427789438e-296,"0","Ier5l"
3.90721269902927e-291,1.65818002510028,0.545,0.203,1.2614436198816e-286,"0","Rab11a"
2.16633067026665e-288,1.44451993414878,0.714,0.364,6.99399856895588e-284,"0","Tgfbr2"
1.02640241572208e-286,2.08606397106297,0.388,0.103,3.31374019915874e-282,"0","Cd151"
2.25755360297148e-286,1.20217823082446,0.824,0.557,7.28851180719344e-282,"0","Gnai2"
2.08331146576371e-282,1.6061463216725,0.369,0.088,6.72597106721814e-278,"0","Dock9"
5.09191561183923e-280,1.12286186936729,0.862,0.532,1.6439249552823e-275,"0","Klf4"
3.92022592918062e-275,1.40638583053399,0.623,0.271,1.26564494123596e-270,"0","Ctnna1"
